,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
40,"[195246, 200047, 222645, 247735, 307536, 327141, 330991, 342688, 345181, 374383, 374604, 400788, 718355, 761035, 768034, 868506]",16, 4112 4916,2017-07-01,M,0.75,16,M,"['LAVAGE CLU', 'SERVIT.MARSU PA']"
41,"[200047, 220933, 272609, 307536, 354419, 374383, 510973, 529805, 542971, 549954, 551892, 605763, 606283, 626162]",14, 4112 1531,2017-07-01,M,0.75,14,M,"['LAVAGE CLU', 'product-12520039']"
42,"[102086, 129575, 158554, 170035, 190040, 247754, 251568, 258366, 267121, 297988, 364895, 366177, 373185, 432121, 436693, 447294, 453193, 468426, 561723, 622143, 640747, 660059, 718506, 787467, 794448, 916607]",26, 236 4917,2017-07-01,M,0.75,26,M,"['product-2000', 'SERVIT.GASTON P']"
43,"[144418, 158554, 205047, 237432, 239773, 258366, 268916, 289515, 297988, 309792, 329649, 373185, 415493, 453193, 616904, 660059, 681522, 700210, 794448, 890863, 916607, 946036]",22, 236 4915,2017-07-01,M,0.75,22,M,"['product-2000', 'SERVIT.MARSUPILAMI PAP ETE 2017']"
44,"[144418, 158554, 161394, 244413, 256318, 297988, 305678, 314647, 319150, 335918, 336921, 401053, 415967, 425954, 432121, 436693, 447294, 453193, 468751, 511179, 597096, 630191, 640747, 718506, 760865, 794448, 905810, 910803]",28, 236 4916,2017-07-01,M,0.75,28,M,"['product-2000', 'SERVIT.MARSU PA']"
45,"[138296, 156680, 158554, 169296, 297988, 314647, 317644, 330295, 365989, 447294, 453193, 519357, 557665, 561723, 660059, 718506, 760865, 794448, 905810, 959718, 961026]",21, 236 4918,2017-07-01,M,0.75,21,M,"['product-2000', 'SERVIT.BILL PAP ETE 2017']"
46,"[138296, 258366, 314647, 330295, 335918, 447294, 453193, 597096, 622143, 660059, 681522]",11, 236 1531,2017-07-01,M,0.75,11,M,"['product-2000', 'product-12520039']"
47,"[114176, 130799, 136380, 217739, 276298, 280686, 358633, 444513, 500586, 715934, 871314]",11, 2968 4917,2017-07-01,M,0.75,11,M,"['TW 10 LINGUETTE', 'SERVIT.GASTON P']"
48,"[271964, 300882, 316593, 384877, 392937, 426139, 451487, 453207, 454720, 465110, 500089, 509386, 537630, 542969, 600101, 889850]",16, 2968 4915,2017-07-01,M,0.75,16,M,"['TW 10 LINGUETTE', 'SERVIT.MARSUPILAMI PAP ETE 2017']"
49,"[270220, 273854, 296486, 298450, 454720, 509386, 554173, 866605, 871314, 889850]",10, 2968 1531,2017-07-01,M,0.75,10,M,"['TW 10 LINGUETTE', 'product-12520039']"
50,"[286391, 349380, 399087, 428202, 471775, 505859, 553832, 578639, 610249, 616225, 715341, 734723, 828469, 958765, 964970]",15, 264 263,2017-07-01,M,0.75,15,M,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
51,"[286391, 565366, 584447, 610249, 616225, 622027, 734723, 754685, 849812, 908778, 913872, 964970]",12, 602 263,2017-07-01,M,0.75,12,M,"['CR SANDWHICH OCEANIQUE (NEW)', 'REMISE BUS AUTOROUTE 9\x80']"
52,"[286391, 415279, 519469, 519885, 521191, 535929, 734723, 752568, 754685, 761107, 828469, 840055, 957240]",13, 1547 263,2017-07-01,M,0.75,13,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
53,"[349380, 399087, 471775, 519887, 521183, 542073, 545984, 578639, 612925, 971894]",10, 431 264,2017-07-01,M,0.75,10,M,"['CAFE EXPRESSO', 'REMISE BUS AUTOROUTE 15\x80']"
54,"[349380, 399087, 400722, 468837, 505859, 542073, 553832, 578639, 715341, 971894]",10, 1374 264,2017-07-01,M,0.75,10,M,"['BD PAIN AU CHOCOLAT', 'REMISE BUS AUTOROUTE 15\x80']"
55,"[151893, 194469, 261458, 287867, 290045, 294646, 313701, 376484, 425686, 452320, 465145, 480133, 505801, 536214, 536669, 560369, 570060, 615217, 616924, 869865, 871178, 880018, 912494, 912815]",24, 4915 1531,2017-08-01,M,0.6666666666666666,24,M,"['SERVIT.MARSUPILAMI PAP ETE 2017', 'product-12520039']"
56,"[195197, 219324, 242190, 270369, 308393, 319219, 351712, 376484, 477520, 517461, 567649, 608653]",12, 4112 1531,2017-08-01,M,0.6666666666666666,12,M,"['LAVAGE CLU', 'product-12520039']"
57,"[142122, 170035, 241974, 339606, 384643, 466095, 467042, 517461, 547968, 583933, 811117, 880018, 883193]",13, 2968 1531,2017-08-01,M,0.6666666666666666,13,M,"['TW 10 LINGUETTE', 'product-12520039']"
58,"[141636, 169895, 241533, 379272, 396609, 406378, 425352, 467042, 486268, 894130]",10, 4917 1531,2017-08-01,M,0.6666666666666666,10,M,"['SERVIT.GASTON P', 'product-12520039']"
59,"[471775, 519469, 574634, 619437, 734723, 735292, 754772, 761107, 762454, 779524, 849812, 908778, 964774, 965330]",14, 1547 263,2017-09-01,M,0.8,14,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
60,"[180230, 200047, 250397, 253734, 320242, 329675, 345181, 355402, 357820, 419058, 420839, 433003, 445207, 507911, 508067, 538955, 585369, 594063, 607089, 608653, 844535]",21, 4126 4112,2017-10-01,M,0.8571428571428571,21,M,"['RECHARGE LAVAGE', 'LAVAGE CLU']"
61,"[101392, 139038, 176750, 275835, 282188, 302709, 307536, 388275, 392932, 432898, 480524, 493464, 618383, 893132, 975187]",15, 4125 4112,2017-10-01,M,0.8571428571428571,15,M,"['RECHARGE LAVAGE TW - A', 'LAVAGE CLU']"
62,"[194842, 222650, 266917, 309792, 371498, 420839, 445207, 544950, 552282, 592510]",10, 2946 4112,2017-10-01,M,0.8571428571428571,10,M,"['TW  LAVE GLACE', 'LAVAGE CLU']"
63,"[161915, 282393, 292878, 379139, 382117, 420839, 426731, 445207, 450524, 476509, 562907, 568070, 579001, 704237, 819684]",15, 2946 4126,2017-10-01,M,0.8571428571428571,15,M,"['TW  LAVE GLACE', 'RECHARGE LAVAGE']"
64,"[519885, 619437, 719763, 734723, 735292, 752568, 754685, 761107, 779524, 902696, 958765, 964774, 971440, 975522, 994504, 995513, 995957, 1014685]",18, 1547 263,2017-10-01,M,0.8571428571428571,18,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
65,"[102086, 103618, 105843, 107936, 108208, 109711, 122503, 124784, 124913, 126551, 132014, 133371, 137677, 141815, 144465, 147886, 156096, 160378, 161010, 165785, 194561, 196163, 199622, 201410, 202282, 203225, 206960, 221900, 224478, 226183, 227452, 235232, 243037, 243136, 244024, 247754, 249865, 258523, 261595, 264642, 267994, 272629, 273864, 274330, 279676, 280880, 286476, 288764, 290699, 298548, 303450, 305507, 319122, 323804, 336921, 341101, 346834, 350228, 361695, 368624, 369769, 371519, 374511, 374604, 375108, 380881, 381808, 387643, 392932, 400662, 403828, 405901, 419594, 425263, 426731, 427283, 428709, 431192, 445207, 445612, 449280, 453384, 454366, 460243, 463903, 466468, 481388, 487123, 500691, 502556, 502604, 502923, 505468, 515329, 516402, 518210, 533921, 536696, 538928, 545867, 550149, 555962, 560291, 560373, 561560, 564060, 564233, 566430, 566585, 567637, 571913, 573519, 576166, 579353, 598811, 613804, 626305, 732484, 756204, 805362, 816743, 824022, 828612, 835363, 836564, 837831, 844535, 874591, 890800, 892436, 893277, 898398, 922543, 933026, 984547]",135, 5625 4112,2017-11-01,M,0.875,135,M,"['MARS  51G', 'LAVAGE CLU']"
