,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE
156,[113487 241017 268854 548624 984430],5, 5401046 7445935,2019-03-01,COCO,0.04428044280442804,5,COCO
157,[ 294115  545984  556301  715341 1179385],5, 5401047 7445935,2019-03-01,COCO,0.04428044280442804,5,COCO
158,[565366 574634 584447 602649 735292 751356 752568 758594 761107],9, 13600075 6026,2017-03-01,COCO,0.0,9,COCO
159,[519887 521885 565366 584447 622027 752568 754685],7, 6033 6026,2017-03-01,COCO,0.0,7,COCO
160,[584447 610249 622027 752568 754685],5, 6033 18064205,2017-03-01,COCO,0.0,5,COCO
161,[187833 518210 565366 576233 603204 624033],6, 4190175 19419902,2017-03-01,COCO,0.0,6,COCO
162,[204029 286729 288846 525249 610249],5, 3461024 18064205,2017-03-01,COCO,0.0,5,COCO
163,[428202 602649 616225 622027 752568],5, 6027 6026,2017-03-01,COCO,0.0,5,COCO
164,"[ 108938  114666  127790  133070  133892  156634  187833  199984  235297
  244827  270220  275782  292347  314647  329014  370988  400880  403445
  421137  425954  427096  427250  460228  464331  483533  552846  554673
  588437  602580  604098  607784  612824  616689  739860  751640  838190
  903640  915181  957469  999796 1061637 1095891 1103098 1163691 1166148
 1167207 1167617 1168767 1171591 1198352 1236675 1237802 1239872]",53, 451 12520268,2019-04-01,COCO,0.046125461254612546,53,COCO
165,[ 250204  734723  779524  995860 1058591],5, 13600075 451,2019-04-01,COCO,0.046125461254612546,5,COCO
166,[ 734723  735292  779524  995860  998545 1014685 1080375 1082751],8, 13600075 6026,2019-04-01,COCO,0.046125461254612546,8,COCO
167,[ 263990  516496  564592  715341  842314 1211526],6, 5401047 7445935,2019-04-01,COCO,0.046125461254612546,6,COCO
168,[ 216255  594239  849340 1040391 1071032],5, 3401042 3401043,2019-04-01,COCO,0.046125461254612546,5,COCO
169,"[ 108938  110899  114666  118478  127760  127790  133892  156634  187833
  235297  270220  314647  353175  403445  421137  425954  427096  427250
  464331  483533  552846  602580  612824  616689  619193  681522  739860
  751640  838190  957469 1061637 1095891 1163691 1166148 1167207 1167617
 1168767 1171591 1198352 1205586 1229524 1237802]",42, 451 12520268,2019-05-01,COCO,0.04797047970479705,42,COCO
170,[ 488446  542084  988692  995860 1054006 1171502],6, 13600075 6026,2019-05-01,COCO,0.04797047970479705,6,COCO
171,[342631 658850 719763 727418 963615],5, 7770415 7445935,2019-05-01,COCO,0.04797047970479705,5,COCO
172,"[428202 518871 531393 535929 548624 555714 574634 602649 735292 758594
 761107 849812 908778]",13, 13600075 6026,2017-04-01,COCO,0.0018450184501845018,13,COCO
173,[428202 471775 519469 521885 548624 555714 584447 616225 622027],9, 6033 6026,2017-04-01,COCO,0.0018450184501845018,9,COCO
174,[555714 610249 616225 622027 754685],5, 3450013 6033,2017-04-01,COCO,0.0018450184501845018,5,COCO
175,[602649 610365 616225 622027 908778],5, 6027 6026,2017-04-01,COCO,0.0018450184501845018,5,COCO
176,"[ 107030  114666  118478  127760  127790  133070  133892  156634  187833
  199984  235297  270220  314647  341990  373743  403445  427096  460228
  464331  483533  523545  554673  602580  612824  616689  739860  751640
  838190  915181  957469 1042827 1061637 1095891 1163691 1166148 1167207
 1168767 1171591 1186493 1205586 1237802]",41, 451 12520268,2019-06-01,COCO,0.04981549815498155,41,COCO
177,"[ 552972  605068  693691  988692  994488  995860 1014685 1034094 1054006
 1058591 1171502]",11, 13600075 6026,2019-06-01,COCO,0.04981549815498155,11,COCO
178,[ 552972  849883  971894  988692 1180366],5, 6027 6026,2019-06-01,COCO,0.04981549815498155,5,COCO
179,[290794 309153 520059 818643 819320],5, 3461039 3450014,2019-06-01,COCO,0.04981549815498155,5,COCO
180,"[294115 363692 421070 526400 535929 535942 552972 584447 619437 622027
 622586 735292 751356 758595 761107 840055 908778]",17, 13600075 6026,2017-05-01,COCO,0.0036900369003690036,17,COCO
181,[342120 489055 594666 714833 758595 776745 788356],7, 4190175 19419902,2017-05-01,COCO,0.0036900369003690036,7,COCO
182,[584447 616225 622027 734723 908778 913872],6, 6027 6026,2017-05-01,COCO,0.0036900369003690036,6,COCO
183,"[348261 415279 526400 584447 610037 619437 749414 754772 761107 849812
 902696 908778 923572]",13, 13600075 6026,2017-06-01,COCO,0.005535055350553505,13,COCO
184,[519885 555714 565366 584447 616225 622027 828469],7, 6033 6026,2017-06-01,COCO,0.005535055350553505,7,COCO
186,[555714 565366 584447 622027 734723 828469],6, 3450013 6026,2017-06-01,COCO,0.005535055350553505,6,COCO
187,[555714 565366 584447 622027 754685 828469],6, 3450013 6033,2017-06-01,COCO,0.005535055350553505,6,COCO
188,[555714 565366 584447 622027 828469],5, 3450013 6033 6026,2017-06-01,COCO,0.005535055350553505,5,COCO
189,[616225 622013 622027 734723 828469 849812 908778],7, 6027 6026,2017-06-01,COCO,0.005535055350553505,7,COCO
190,"[ 108938  110899  114666  127790  133070  133113  133892  156634  187833
  235297  244827  292347  314647  336730  351686  357025  368080  403445
  421137  427096  460228  464331  483533  552846  554673  588437  602580
  612824  616689  681522  739860  751640  758478  786504  838190  957469
  999796 1061637 1095891 1163691 1167207 1167617 1168767 1171591 1189196
 1198352 1205586 1206265 1237802]",49, 451 12520268,2019-07-01,COCO,0.05166051660516605,49,COCO
191,[ 294115  456892  836943  849340 1071032],5, 3401043 3401042,2019-07-01,COCO,0.05166051660516605,5,COCO
192,[ 112633  416219  576327  916245 1179385],5, 5401047 7445935,2019-07-01,COCO,0.05166051660516605,5,COCO
193,[ 112633  263913  281283  383508  469829  518911 1001366],7, 5401046 7445935,2019-07-01,COCO,0.05166051660516605,7,COCO
194,[105351 391139 552778 560559 679482 830201 963615],7, 7719715 5461017,2019-07-01,COCO,0.05166051660516605,7,COCO
195,"[110899 244827 270220 271779 296486 314647 421137 427096 432305 464331
 573259 602580 616689 681522 739860 751640]",16, 451 12520039,2017-07-01,COCO,0.007380073800738007,16,COCO
196,"[138296 258366 314647 330295 335918 447294 453193 597096 622143 660059
 681522]",11, 2000 12520039,2017-07-01,COCO,0.007380073800738007,11,COCO
197,"[286391 349380 399087 428202 471775 505859 553832 578639 610249 616225
 715341 734723 828469 958765 964970]",15, 6033 6026,2017-07-01,COCO,0.007380073800738007,15,COCO
198,"[286391 565366 584447 610249 616225 734723 754685 849812 908778 913872
 964970]",11, 3450013 6026,2017-07-01,COCO,0.007380073800738007,11,COCO
199,[279525 286391 610249 616225 734723 964970 971894],7, 3450013 6033,2017-07-01,COCO,0.007380073800738007,7,COCO
