,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
387,"[111795, 111906, 123777, 162884, 170884, 171664, 171803, 172560, 200446, 206659, 225686, 254276, 300218, 302619, 303396, 305343, 306607, 315186, 317527, 328721, 348542, 381832, 383964, 396038, 397717, 413192, 439383, 453037, 493263, 519310, 525202, 527590, 541950, 555121, 566090, 578301, 584174, 614220, 660191, 789110, 826642, 832883, 873802, 874064, 958863, 965726, 984430, 1054006, 1097740, 1110423, 1111712, 1121384, 1139056, 1162191, 1162920, 1173969, 1193925]",57, 2372,2018-09-01,1,0.0,57,1,['EVIAN1LPET*']
396,"[555714, 984430, 1058591, 1153425, 1155422]",5, 3513 1547,2018-09-01,1,0.0,5,1,"['CRISTALINE1.5L', 'SACBOUTIQUEKRAFT']"
405,"[108824, 115511, 129318, 129390, 142784, 150031, 152339, 166252, 174942, 200111, 204046, 206111, 256742, 283101, 333415, 334136, 363046, 376513, 403154, 406490, 408799, 414017, 426472, 432995, 478591, 513469, 517157, 526727, 540798, 548830, 573766, 578150, 614670, 724769, 772615, 773826, 785654, 881860, 907579, 956000, 1000212, 1054295, 1076431, 1102967, 1190770, 1202458, 1240896]",47, 4132,2018-09-01,1,0.0,47,1,['RECLAVAGEPJE35U']
409,"[294115, 555714, 574634, 1058591, 1075356, 1152207, 1153425, 1155422, 1173969]",9, 3513 263,2018-09-01,1,0.0,9,1,"['CRISTALINE1.5L', 'REMISEBUSAUTOROUTE9\x80']"
411,"[102475, 109302, 115068, 130532, 135514, 137251, 137677, 137871, 150817, 181421, 216255, 233328, 247304, 263477, 266648, 271791, 274894, 284704, 293992, 303422, 319309, 339905, 351503, 360383, 379139, 383170, 384261, 390756, 391816, 401213, 403759, 407242, 445207, 449671, 462727, 479921, 490190, 494444, 495544, 504168, 511290, 518003, 537653, 555991, 557579, 593782, 626543, 707394, 716605, 773493, 793919, 888764, 899061, 911475, 945455, 977090, 996186, 996211, 1029114, 1037809, 1043904, 1051587, 1058725, 1067863, 1098509, 1102873, 1111303, 1188127, 1189589, 1195348]",70, 2947,2018-09-01,1,0.0,70,1,['TWLAVEGLACEDEMOUSTIQUEUR4L']
414,"[135514, 137677, 137871, 181421, 247304, 284704, 293992, 383170, 391816, 462727, 494444, 555991, 716605, 773493, 793919, 911475, 1067863, 1111303]",18, 2947 2949,2018-09-01,1,0.0,18,1,"['TWLAVEGLACE', 'TWLAVEGLACEDEMOUSTIQUEUR4L']"
415,"[135514, 150817, 407242, 511290, 911475, 1102873]",6, 2947 4077,2018-09-01,1,0.0,6,1,"['TOTALADBLUE10L', 'TWLAVEGLACEDEMOUSTIQUEUR4L']"
420,"[127760, 129865, 149358, 156366, 161915, 164174, 174525, 192624, 252176, 261223, 294115, 305003, 353937, 447204, 449166, 483688, 491884, 497771, 527437, 535449, 555714, 574634, 585130, 594535, 605763, 657706, 674374, 698499, 897079, 898005, 949334, 957803, 965663, 984430, 1029886, 1054237, 1058591, 1075356, 1086227, 1089689, 1099347, 1152207, 1153425, 1155422, 1163690, 1173969, 1176947, 1184230, 1191002, 1216889]",50, 3513,2018-09-01,1,0.0,50,1,['CRISTALINE1.5L']
422,"[101912, 109665, 167349, 184920, 211249, 213412, 278593, 286637, 306030, 306607, 313674, 332610, 335716, 353824, 364900, 387532, 393038, 401255, 402886, 404827, 407141, 409730, 419473, 447204, 450519, 457287, 466184, 485938, 503254, 520041, 530814, 533207, 540247, 557537, 584082, 585878, 594535, 600388, 600467, 618779, 624033, 725594, 740786, 743419, 755860, 777179, 778494, 791569, 876615, 880018, 890643, 899392, 912470, 936719, 956580, 960639, 984430, 996211, 1017855, 1018724, 1037809, 1060176, 1062519, 1120037, 1121824, 1150728, 1153745, 1191002, 1221607]",69, 1531,2018-09-01,1,0.0,69,1,[]
426,"[102168, 111432, 129033, 138794, 140566, 146149, 156121, 219957, 226086, 236344, 238881, 256993, 281988, 282802, 283278, 339428, 341253, 344630, 389258, 400788, 403914, 409935, 418229, 442250, 475440, 563868, 596052, 606741, 654968, 716095, 815181, 836821, 890518, 953867, 988331, 1010123, 1031090, 1031383, 1035023, 1043083, 1047905, 1061200, 1066512, 1085849, 1159705, 1172744, 1202706]",47, 4103,2018-09-01,1,0.0,47,1,['LAVAGE1PLEIN']
429,"[111432, 563868, 596052, 1035023, 1047905]",5, 4103 2971,2018-09-01,1,0.0,5,1,"['LAVAGE1PLEIN', 'TW10LINGUETTE']"
430,"[101583, 118071, 128775, 130759, 132062, 137464, 140050, 141636, 147896, 176713, 188938, 250163, 252829, 261340, 263245, 273947, 280156, 290355, 306257, 307573, 334058, 342442, 344568, 351455, 394148, 411677, 448392, 452539, 452726, 472186, 475296, 501606, 515602, 529492, 530127, 539358, 541417, 554667, 555991, 562740, 567649, 659362, 698889, 714390, 716317, 726529, 778493, 779241, 821181, 881754, 945174, 983363, 1002608, 1006301, 1014979, 1018245, 1024715, 1029264, 1029914, 1035563, 1049835, 1115172, 1138487, 1162683, 1163690, 1191838, 1201691, 1215150, 1220258]",69, 1533,2018-09-01,1,0.0,69,1,[]
438,"[127760, 128568, 154737, 156285, 171664, 187833, 191426, 193871, 241388, 284704, 298971, 309321, 319895, 352429, 422794, 484351, 484956, 485876, 485938, 499748, 505960, 541950, 554667, 595172, 603156, 729279, 737702, 763214, 881238, 890718, 936719, 955102, 1020488, 1082539, 1190921, 1238732]",36, 1532,2018-09-01,1,0.0,36,1,[]
439,"[107216, 112044, 121128, 129865, 140578, 201396, 203373, 249173, 252915, 319870, 377348, 382117, 444342, 458746, 480255, 495380, 496602, 502006, 506588, 509007, 529602, 596052, 626543, 633102, 652084, 814542, 845965, 869696, 882335, 922899, 952954, 1031553, 1045791, 1068889, 1123496, 1157432, 1203263, 1218083, 1232832]",39, 2950,2018-09-01,1,0.0,39,1,['TWLAVEGLACE-304L']
440,"[201396, 203373, 382117, 480255, 596052, 1068889]",6, 2950 2971,2018-09-01,1,0.0,6,1,"['TW10LINGUETTE', 'TWLAVEGLACE-304L']"
441,"[319870, 444342, 509007, 596052, 952954]",5, 2950 2949,2018-09-01,1,0.0,5,1,"['TWLAVEGLACE', 'TWLAVEGLACE-304L']"
