,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
100,"[139038, 154662, 222969, 294969]",4, 5760,2017-03-01,50-65,0.0,4,50-65,['PRINGLES ORIGINAL 175G']
101,"[174525, 245144, 540091]",3, 5840,2017-03-01,50-65,0.0,3,50-65,['BATON NOIR NOIS']
102,"[100715, 470636, 584447]",3, 5845 1704,2017-03-01,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'LOTUS GAUFRES L']"
103,"[100715, 241319, 464868]",3, 6012,2017-03-01,50-65,0.0,3,50-65,['ICE TEA PECHE 50CL']
104,"[122584, 140423, 752568]",3, 500,2017-03-01,50-65,0.0,3,50-65,['CR TARTE PISTAC']
105,"[122584, 352928, 385584]",3, 674 1853,2017-03-01,50-65,0.0,3,50-65,"['CR COCA COLA BT', 'CR SANDWICH VOL']"
106,"[143947, 315695, 613049]",3, 1162,2017-03-01,50-65,0.0,3,50-65,['BD - - - A EMPO']
107,"[200853, 263990, 304549]",3, 1464 1523,2017-03-01,50-65,0.0,3,50-65,"['BDG EXPRESSO', 'BDG STEACK HACHE FRITES']"
108,"[389556, 470762, 536284]",3, 1532,2017-03-01,50-65,0.0,3,50-65,[]
109,"[319196, 460815, 566430]",3, 1685,2017-03-01,50-65,0.0,3,50-65,['CHEW GUM HOLLY']
110,"[193388, 237287, 355952]",3, 1776,2017-03-01,50-65,0.0,3,50-65,"[""NOUGATTI COTE D'OR 30G""]"
111,"[106717, 178794, 720797]",3, 2461,2017-03-01,50-65,0.0,3,50-65,['HARI SACHET 120']
112,"[198623, 340209, 527643]",3, 2858,2017-03-01,50-65,0.0,3,50-65,['VITTEL BOUTEILL']
113,"[178794, 348948, 470752]",3, 2903,2017-03-01,50-65,0.0,3,50-65,['TW EFFACE RAYURES 100ML']
114,"[262091, 266265, 304012]",3, 3881,2017-03-01,50-65,0.0,3,50-65,['SDW DAUNAT MINI']
115,"[141207, 266265, 294969]",3, 3882,2017-03-01,50-65,0.0,3,50-65,['SDW DAUNAT MIMI']
116,"[193388, 344702, 356654]",3, 5607,2017-03-01,50-65,0.0,3,50-65,['COCA COLA ZERO 50CL PET']
117,"[118478, 525249, 697503]",3, 608,2017-03-01,50-65,0.0,3,50-65,['CR SAND PREMIUM']
118,"[386377, 404833, 616225]",3, 4217,2017-03-01,35-49,0.0,3,35-49,['BAT BERGER MIN NOIX 80G']
119,"[168144, 245775, 273010]",3, 2956,2017-03-01,50-65,0.0,3,50-65,['TOTAL ADBLUE BEC V. 5L']
120,"[128859, 477918, 772088]",3, 3959,2017-03-01,35-49,0.0,3,35-49,['POMME GOLDEN X2']
121,"[517346, 565366, 616565]",3, 2797 263,2017-03-01,35-49,0.0,3,35-49,"['COCA COLA 50CL PET', 'REMISE BUS AUTOROUTE 9\x80']"
122,"[451909, 692982, 714926]",3, 3379,2017-03-01,35-49,0.0,3,35-49,['PAIN AU CHOCOLAT KAP 80G']
123,"[274391, 304901, 322520, 342376, 420415, 424865, 521183, 572129]",8, 5607,2017-03-01,35-49,0.0,8,35-49,['COCA COLA ZERO 50CL PET']
124,"[214517, 313128, 565366]",3, 5845,2017-03-01,35-49,0.0,3,35-49,['LOTUS GAUFRES L']
125,"[206078, 324679, 600381, 604947, 620005]",5, 431,2017-03-01,35-49,0.0,5,35-49,['CAFE EXPRESSO']
126,"[152992, 565366, 602122, 610249]",4, 1871,2017-03-01,35-49,0.0,4,35-49,['CR CHAUSSON AUX POMMES 120G']
