,user_ids,support,itemsets,period,property_values,depth,size,firstpromo,itemset_name
27872,"[516711, 520693]",2, 1796 1795,2019-02-01,1,0.6666666666666666,2,1,"['MENTOS BOT MENTHE V. 60G', 'MENTOS BOTTLE MENTHE D. 60G']"
27890,"[535929, 1121384]",2, 2583 3875,2019-02-01,1,0.6666666666666666,2,1,"['ARLEQUIN 150G', 'TRIANGLE JAMBOM']"
27894,[516711],1, 1796 1795 4136,2019-02-01,1,0.6666666666666666,1,1,"['MENTOS BOT MENTHE V. 60G', 'MENTOS BOTTLE MENTHE D. 60G', 'RECHARGE LAVAGE TW - D']"
27896,"[120099, 147896, 302709, 601806, 622174, 632286]",6, 1807,2019-02-01,1,0.6666666666666666,6,1,['MENTOS GUM PURE FRESH CHLORO 60G']
27911,"[195197, 285803, 478639, 535929, 1121384]",5, 2583,2019-02-01,1,0.6666666666666666,5,1,['ARLEQUIN 150G']
27917,[130555],1, 6398 5625,2019-02-01,1,0.6666666666666666,1,1,"['MARS  51G', 'MILKA CHOCO SUPREME 150G']"
27923,"[508618, 607223, 757634, 849883, 895072, 1226719]",6, 6976,2019-02-01,1,0.6666666666666666,6,1,['RED BULL GREEN EDITION 250ML']
27925,[757634],1, 6976 5531,2019-02-01,1,0.6666666666666666,1,1,"['BOUNTY LAIT 3BO', 'RED BULL GREEN EDITION 250ML']"
27932,"[130555, 355192, 460608, 565366, 840055, 994488]",6, 6398,2019-02-01,1,0.6666666666666666,6,1,['MILKA CHOCO SUPREME 150G']
27941,"[584381, 752577, 889462, 1033289, 1160772, 1233056, 1236406]",7, 6277,2019-02-01,1,0.6666666666666666,7,1,[]
27942,"[752577, 1236406]",2, 6277 4125,2019-02-01,1,0.6666666666666666,2,1,['RECHARGE LAVAGE TW - A']
27944,[1160772],1, 6277 2946,2019-02-01,1,0.6666666666666666,1,1,['TW  LAVE GLACE']
27954,"[298935, 437011, 484505, 484507, 787826, 958732]",6, 167,2019-02-01,1,0.6666666666666666,6,1,[]
27955,"[484505, 484507]",2, 167 2121 4136,2019-02-01,1,0.6666666666666666,2,1,['RECHARGE LAVAGE TW - D']
27966,"[112044, 449166, 463510, 688336, 986779, 1039101]",6, 700,2019-02-01,1,0.6666666666666666,6,1,[]
27967,"[449166, 1039101]",2, 700 608,2019-02-01,1,0.6666666666666666,2,1,['CR SAND PREMIUM']
27978,"[240504, 243447, 810351, 1218676]",4, 204,2019-02-01,1,0.6666666666666666,4,1,[]
27979,[810351],1, 204 4074,2019-02-01,1,0.6666666666666666,1,1,['BIDON AD BLUE 10L']
28011,"[191426, 289744, 326764, 591171, 882992, 890211]",6, 4444,2019-02-01,1,0.6666666666666666,6,1,['LIPTON GREEN']
28027,"[158554, 303546, 501817, 519469, 528700, 1058591]",6, 3964,2019-02-01,1,0.6666666666666666,6,1,['BANANE X2 200G']
28028,"[158554, 1058591]",2, 3964 1547,2019-02-01,1,0.6666666666666666,2,1,"['BANANE X2 200G', 'SAC BOUTIQUE KRAFT']"
28035,"[734723, 988692, 998545, 1058591]",4, 4524 1547,2019-02-01,1,0.6666666666666666,4,1,"['LAIT 1/2 E NAT. 1L CANDI', 'SAC BOUTIQUE KRAFT']"
28036,"[734723, 998545, 1058591]",3, 4524 4439 1547 163,2019-02-01,1,0.6666666666666666,3,1,"['LAIT 1/2 E NAT. 1L CANDI', 'SAC BOUTIQUE KRAFT']"
28037,"[734723, 1058591]",2, 4524 277 1547 163 3334 4439,2019-02-01,1,0.6666666666666666,2,1,"['LAIT 1/2 E NAT. 1L CANDI', 'SAC BOUTIQUE KRAFT', 'SALADE MANHATTA']"
28055,"[354730, 411041, 470752, 519847, 529037, 825311]",6, 6449,2019-02-01,1,0.6666666666666666,6,1,[]
28060,"[988692, 998545, 1058591]",3, 4524 3137 1547 6990,2019-02-01,1,0.6666666666666666,3,1,"['LAIT 1/2 E NAT. 1L CANDI', 'LAIT 1/2 ECREME', 'PAGO FRAISE 33C', 'SAC BOUTIQUE KRAFT']"
28096,"[313839, 436802, 704970, 810001, 1189171]",5, 2954,2019-02-01,1,0.6666666666666666,5,1,['TOTAL LIQ.REFROID. SPECIAL VAG -37C 1L']
28147,"[323469, 331444, 382492, 578639, 622174, 995860]",6, 3201,2019-02-01,1,0.6666666666666666,6,1,['ICE TEA PECHE 33CL BTE']
28153,"[496860, 520041, 554079, 1053328]",4, 3319,2019-02-01,1,0.6666666666666666,4,1,['SDW.MEGA POUL 230G']
28155,"[496860, 1053328]",2, 3319 2920,2019-02-01,1,0.6666666666666666,2,1,"['SDW.MEGA POUL 230G', 'TW MICROFIBRE DE SECHAGE']"
28159,"[521191, 555714, 825189, 840055, 1121384]",5, 3423,2019-02-01,1,0.6666666666666666,5,1,['CARRES F.AMANDE X6 280G']
28164,[549038],1, 6184 6179 2956 4125 4126 1538 2944,2019-02-01,1,0.6666666666666666,1,1,"['RECHARGE CAFÉ CLUB 2\x80', 'RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A', 'TOTAL ADBLUE BEC V. 5L', 'TW  LAVE GLACE DEMOUSTIQUEUR 4L']"
28167,"[378563, 445207]",2, 6313 4663,2019-02-01,1,0.6666666666666666,2,1,"['AUVE. MIN STICK NAT 100G', 'TOBLERONE 100 GR']"
28172,"[250481, 378563, 445207, 516578, 540994, 942898, 1162191]",7, 6313,2019-02-01,1,0.6666666666666666,7,1,['TOBLERONE 100 GR']
28183,"[446067, 622174, 1050811]",3, 5952 4112,2019-02-01,1,0.6666666666666666,3,1,"['FUZE TEA MANGUE', 'LAVAGE CLU']"
28184,"[357620, 446067, 526900, 622174, 1050811]",5, 5952,2019-02-01,1,0.6666666666666666,5,1,['FUZE TEA MANGUE']
28222,"[230856, 497696, 507317, 971894, 1200584, 1209111]",6, 1672,2019-02-01,1,0.6666666666666666,6,1,['CR ECLAIR PARFUM CHOCOLAT 70 GR']
28248,"[123501, 267737, 313143, 400153, 483161, 881754, 894384, 899725]",8, 2882 1533,2019-02-01,1,0.6666666666666666,8,1,['MUG PAP HIVER 2019']
28251,[899725],1, 2882 4099 1533 4125 4127,2019-02-01,1,0.6666666666666666,1,1,"['LAVAGE 1 PLEIN', 'MUG PAP HIVER 2019', 'REC LAVAGE PJE  20 U', 'RECHARGE LAVAGE TW - A']"
28252,"[248425, 457692, 518130, 573223, 594535, 600388]",6, 2930,2019-02-01,1,0.6666666666666666,6,1,['TOTAL ANTI CREV']
28256,"[573223, 594535]",2, 2930 3510,2019-02-01,1,0.6666666666666666,2,1,"['CRISTALINE 1.5L', 'TOTAL ANTI CREV']"
28269,"[121128, 138663, 318300, 530327, 545865, 570365, 1168259]",7, 1538 4126 4112,2019-02-01,1,0.6666666666666666,7,1,"['LAVAGE CLU', 'RECHARGE CAFÉ CLUB 2\x80', 'RECHARGE LAVAGE']"
28270,"[121128, 127760, 127960, 131862, 138663, 144417, 154248, 298450, 318300, 333793, 389100, 399636, 429530, 445147, 447321, 472493, 493464, 506588, 530327, 532620, 545865, 549038, 570365, 579353, 585321, 997744, 1163901, 1168259, 1192624, 1224008]",30, 1538 4126,2019-02-01,1,0.6666666666666666,30,1,"['RECHARGE CAFÉ CLUB 2\x80', 'RECHARGE LAVAGE']"
28271,"[107936, 121128, 127790, 130799, 131514, 138663, 140427, 144465, 162055, 163968, 164231, 170515, 171103, 180952, 188766, 196329, 199576, 202409, 219957, 234222, 246011, 251477, 259132, 261715, 267198, 267737, 271497, 273229, 273864, 280966, 291899, 297113, 308992, 318300, 329014, 356945, 373747, 373882, 374383, 385430, 393650, 412833, 423459, 436986, 446878, 457692, 459070, 460889, 483533, 499303, 509386, 512934, 518800, 528917, 529805, 530327, 545865, 549950, 550874, 570365, 572483, 579243, 588525, 595074, 596217, 618576, 716018, 721306, 771876, 805158, 838634, 869865, 931348, 945318, 1030140, 1054616, 1066509, 1107311, 1109458, 1168259, 1169281, 1175910, 1183011, 1185071, 1191106, 1195916, 1196711, 1198986, 1225767, 1226863, 1242175]",91, 1538 4112,2019-02-01,1,0.6666666666666666,91,1,"['LAVAGE CLU', 'RECHARGE CAFÉ CLUB 2\x80']"
28272,"[100194, 101687, 107030, 107936, 108938, 109054, 109665, 109730, 109765, 110899, 113787, 114666, 115334, 116441, 118478, 120622, 121128, 122130, 122976, 123501, 123777, 124144, 126662, 127760, 127790, 127960, 130799, 131514, 131516, 131862, 133070, 133113, 133892, 134483, 134691, 138663, 140167, 140427, 140480, 141601, 141636, 144223, 144417, 144465, 146208, 146314, 147410, 149963, 150865, 154248, 155063, 156634, 162055, 163776, 163968, 164231, 167298, 168011, 168797, 170515, 171103, 176469, 180374, 180952, 187833, 188766, 193943, 195384, 195808, 196329, 196976, 197627, 199576, 199984, 202409, 205109, 206396, 209038, 210939, 214517, 215849, 219957, 223786, 227509, 234222, 235297, 236292, 236428, 240175, 241017, 244024, 244827, 246011, 247822, 247920, 247993, 248242, 248336, 251365, 251477, 252464, 259132, 261384, 261715, 267198, 267737, 268558, 270220, 271497, 273002, 273229, 273854, 273864, 274440, 274836, 275782, 276679, 280966, 288540, 291899, 292347, 293947, 296038, 296343, 297113, 298450, 301402, 308992, 310528, 312856, 313731, 314647, 315897, 318300, 320498, 325309, 327482, 329014, 329769, 333793, 335334, 339511, 346289, 348339, 349622, 350143, 351040, 353175, 355050, 355952, 356945, 357250, 357905, 361977, 362310, 363093, 366567, 367609, 368080, 369215, 369359, 369932, 370988, 371095, 371266, 373747, 373882, 374383, 374485, 385430, 389100, 393650, 393703, 399636, 400880, 402221, 403445, 406069, 407628, 408175, 410508, 410819, 412833, 414465, 414915, 417954, 420016, 421137, 423459, 424345, 425954, 427096, 427250, 429530, 429595, 430868, 431819, 433081, 435281, 436986, 437007, 439106, 440971, 442885, 443105, 445147, 446043, 446878, 447321, 450548, 451429, 453193, 456150, 457692, 458457, 458921, 459070, 460228, 460754, 460889, 463535, 464331, 465521, 466365, 466500, 472493, 477413, 480928, 483533, 488580, 489886, 489993, 493464, 495425, 499303, 499712, 506588, 509386, 512483, 512934, 518800, 520071, 522574, 523273, 524668, 527508, 528008, 528415, 528536, 528917, 529805, 530327, 532152, 532620, 535249, 535838, 538133, 539572, 541094, 545865, 547403, 549038, 549950, 550874, 551892, 552778, 552846, 554673, 556062, 564110, 566360, 567971, 570365, 570636, 572483, 572744, 573259, 578640, 579243, 579353, 579652, 580829, 584107, 584471, 585321, 588437, 588525, 590404, 590891, 593137, 595074, 596217, 600467, 602580, 604098, 604276, 607784, 608289, 609597, 612824, 613162, 616689, 618576, 619193, 620532, 622410, 623153, 626337, 639169, 647845, 668785, 670457, 671878, 673790, 674172, 681522, 684803, 687995, 711980, 716018, 716317, 721306, 739388, 739860, 744582, 745419, 746930, 751640, 753583, 769479, 771876, 785339, 794611, 804991, 805158, 822437, 838190, 838634, 869865, 870253, 875750, 894527, 895072, 896144, 903640, 908504, 915181, 919151, 928890, 931348, 940576, 945318, 951920, 957469, 958406, 961949, 971143, 997744, 999796, 1001799, 1030140, 1045120, 1054616, 1056892, 1061637, 1066509, 1095891, 1103098, 1107311, 1109458, 1121044, 1124508, 1150404, 1158085, 1160216, 1163691, 1163823, 1163901, 1164586, 1165385, 1166148, 1167207, 1167617, 1168259, 1168767, 1169281, 1171591, 1172049, 1173505, 1174277, 1175910, 1176921, 1180756, 1181387, 1183011, 1185071, 1186493, 1191106, 1192624, 1195916, 1196711, 1198352, 1198986, 1202133, 1202592, 1203549, 1203609, 1205519, 1205586, 1206265, 1214239, 1215184, 1218881, 1221274, 1223105, 1224008, 1225767, 1226863, 1229524, 1229703, 1236675, 1236866, 1237802, 1239028, 1239872, 1242175, 1242252, 1243826]",428, 1538,2019-02-01,1,0.6666666666666666,428,1,['RECHARGE CAFÉ CLUB 2\x80']
28273,"[121128, 132253, 172457, 223220, 281256, 288782, 642259, 896292, 937365, 966445, 1003499, 1063971]",12, 4125 4126 4112,2019-02-01,1,0.6666666666666666,12,1,"['LAVAGE CLU', 'RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
28274,"[116566, 121128, 130464, 132253, 153970, 154084, 157047, 172457, 173559, 188482, 209608, 223220, 239503, 239844, 277677, 281256, 288782, 430600, 499519, 515602, 526976, 535916, 549038, 576981, 606450, 642259, 645406, 686238, 686919, 696493, 732484, 762882, 830638, 896292, 897112, 899176, 937365, 966445, 987379, 1003499, 1027715, 1029030, 1037370, 1058749, 1063971, 1093208, 1120736, 1187387, 1192624]",49, 4125 4126,2019-02-01,1,0.6666666666666666,49,1,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
28275,"[103344, 105649, 121128, 132253, 141815, 149422, 153534, 163523, 163934, 164593, 171799, 172457, 176750, 197808, 198443, 201941, 202124, 223220, 223769, 226924, 226985, 228704, 228856, 238881, 243136, 243484, 247851, 253781, 273864, 281256, 282188, 285626, 288782, 295124, 297113, 313887, 327874, 328952, 329954, 330084, 334092, 343449, 344970, 357354, 360867, 375104, 385318, 385884, 392200, 400788, 407307, 410397, 422118, 434667, 455312, 468216, 473077, 479474, 480255, 480366, 488638, 518762, 521461, 523822, 529037, 535745, 536074, 537265, 549950, 550372, 555618, 556943, 564686, 579243, 588268, 592647, 605523, 624033, 625091, 642259, 684785, 715453, 716095, 716465, 721265, 733528, 752577, 756895, 818420, 843577, 869865, 873625, 881500, 896292, 901879, 922746, 923982, 937365, 966445, 968496, 970916, 977640, 1003499, 1014384, 1015669, 1031383, 1047905, 1063971, 1068889, 1077821, 1102687, 1124305, 1167677, 1176543, 1196500, 1201800, 1228789, 1238615, 1239591, 1240460, 1241990]",121, 4125 4112,2019-02-01,1,0.6666666666666666,121,1,"['LAVAGE CLU', 'RECHARGE LAVAGE TW - A']"
28276,"[100615, 100942, 102917, 103344, 105649, 105769, 105919, 109572, 110211, 113009, 113181, 113960, 116517, 116566, 117850, 118554, 120021, 121128, 121437, 122194, 123035, 123642, 123949, 124955, 125615, 126217, 126875, 128265, 128568, 128703, 130366, 130464, 131834, 132253, 132260, 138296, 138325, 141181, 141601, 141815, 142373, 144205, 145566, 146032, 147772, 147839, 149422, 149886, 151252, 151702, 152266, 152590, 153009, 153534, 153970, 154066, 154084, 154715, 155563, 155710, 157047, 157573, 158972, 160270, 160433, 160513, 161425, 163523, 163869, 163934, 164593, 171664, 171740, 171799, 172457, 172576, 173559, 175030, 176750, 176923, 177693, 178285, 178786, 181029, 181114, 181964, 184070, 184841, 185724, 186974, 187495, 188482, 189043, 189419, 191681, 191747, 195200, 195246, 195384, 197627, 197808, 198355, 198443, 198622, 201941, 202124, 202754, 203487, 204827, 205440, 207120, 207233, 209608, 211046, 213211, 214517, 215374, 217739, 222403, 223220, 223769, 223774, 224471, 226924, 226985, 228704, 228856, 229076, 231094, 231859, 233072, 236544, 238881, 239503, 239835, 239844, 241262, 242201, 242658, 242928, 243136, 243484, 245072, 247822, 247851, 250535, 251036, 252901, 253781, 254316, 254813, 257663, 257851, 258065, 261852, 262086, 264567, 266994, 267956, 269558, 270927, 271256, 272301, 272556, 273864, 274467, 277677, 277876, 278491, 281256, 281377, 282188, 283278, 284341, 285626, 286228, 286903, 288714, 288782, 291553, 291564, 292493, 293451, 293960, 295086, 295124, 295879, 296144, 296219, 296286, 297113, 298473, 300473, 302709, 303696, 304157, 304860, 305347, 307595, 307874, 308966, 309445, 310170, 310380, 310702, 313472, 313887, 315397, 317586, 322611, 323949, 326483, 327313, 327874, 328952, 329769, 329954, 330084, 330312, 331247, 331273, 332432, 333809, 334092, 336830, 337215, 337531, 339428, 339445, 339464, 339977, 340236, 341341, 343202, 343312, 343449, 344157, 344415, 344630, 344970, 348618, 349622, 351612, 354817, 355203, 355838, 357250, 357354, 357905, 358760, 360867, 361281, 366154, 366177, 368354, 368517, 369089, 372225, 373276, 374708, 375104, 377785, 380944, 381797, 382180, 385318, 385884, 386750, 388999, 390982, 392200, 392932, 393396, 393559, 393980, 394741, 394811, 396004, 397673, 399352, 400788, 402047, 404347, 405310, 406546, 407307, 410397, 411179, 412414, 413540, 415543, 418357, 418403, 419573, 421208, 421796, 422118, 422261, 422670, 422871, 423591, 425455, 425791, 425951, 427408, 427966, 428793, 429092, 430600, 433081, 433622, 433959, 434444, 434667, 436127, 440125, 442803, 443923, 445614, 447143, 450052, 450399, 451429, 454059, 454219, 455312, 456059, 457778, 457865, 458121, 458163, 458921, 459308, 460017, 460550, 460608, 460697, 460915, 461515, 461997, 462819, 463969, 465004, 466493, 468216, 468467, 469008, 470805, 471799, 471841, 473077, 473727, 476652, 476721, 477692, 477807, 478155, 479396, 479474, 480255, 480366, 480373, 480638, 480899, 482352, 484493, 485101, 487513, 488638, 490190, 491581, 491767, 491884, 491936, 493713, 493937, 494474, 495371, 496594, 497547, 498326, 499519, 500078, 500915, 501269, 502556, 503829, 504100, 504538, 505779, 506019, 508093, 508101, 508501, 508803, 509178, 509835, 511024, 511792, 514311, 514478, 514562, 515602, 516389, 516407, 516797, 516890, 517175, 518482, 518488, 518762, 519137, 519847, 521461, 523297, 523822, 523844, 524542, 525815, 526049, 526976, 527677, 528008, 528271, 529037, 535745, 535916, 536074, 536214, 536615, 536722, 537265, 538133, 538955, 540322, 541039, 543430, 543558, 547497, 547665, 548581, 549038, 549705, 549759, 549950, 550117, 550372, 551446, 552703, 552715, 552903, 554567, 555013, 555222, 555618, 556233, 556943, 558155, 558424, 558639, 558641, 558934, 560369, 562667, 563851, 563868, 564686, 565979, 566531, 567200, 567223, 568859, 569912, 570060, 571913, 574409, 576981, 577441, 578507, 579243, 580256, 580829, 581731, 582195, 583156, 583460, 584471, 586233, 587093, 588268, 591897, 592647, 592916, 594278, 595077, 595081, 598989, 599245, 599293, 600705, 601732, 601900, 602481, 602583, 604291, 605207, 605523, 606450, 607267, 607393, 608289, 608982, 618337, 620532, 621421, 622396, 624033, 624366, 624483, 625091, 626163, 627846, 628778, 631244, 633114, 634638, 642259, 643337, 645406, 648052, 656858, 656898, 657021, 658691, 661812, 666512, 669327, 674245, 678188, 679163, 680859, 684785, 686238, 686919, 691556, 691791, 693851, 696493, 697825, 704043, 705311, 709087, 711515, 715453, 716095, 716465, 721265, 723771, 725674, 725683, 732484, 733528, 735736, 741466, 741484, 741769, 748250, 752577, 756895, 761277, 762882, 763366, 764186, 764843, 765348, 765773, 770844, 771204, 781190, 781798, 789070, 790704, 794690, 796188, 798464, 805459, 814206, 818420, 819787, 822185, 822596, 823514, 824151, 828186, 830638, 832235, 833102, 836821, 840183, 843577, 846913, 847382, 863202, 864313, 864534, 869075, 869078, 869865, 871822, 872009, 873625, 874911, 875487, 877238, 879099, 880102, 881500, 881662, 883667, 884486, 886366, 886926, 889614, 891167, 892510, 893132, 896292, 897112, 897326, 899176, 899725, 901879, 903506, 905482, 910334, 910412, 911192, 911227, 911967, 912610, 915084, 915275, 915686, 919238, 922347, 922746, 923982, 924203, 930308, 932953, 933793, 935817, 937365, 941776, 948719, 953867, 955102, 956686, 958821, 959654, 959856, 966445, 968496, 969405, 970916, 971139, 972285, 977640, 978653, 981371, 982129, 982902, 985407, 987379, 991497, 996122, 996421, 997822, 999970, 1001919, 1003499, 1004943, 1005938, 1006932, 1011392, 1013519, 1014384, 1015669, 1018706, 1022740, 1027715, 1028364, 1029030, 1031383, 1033683, 1034783, 1035449, 1037370, 1038016, 1038337, 1039589, 1040923, 1041657, 1043083, 1047905, 1051255, 1055722, 1056066, 1058749, 1061200, 1061702, 1063971, 1064162, 1065136, 1066512, 1066859, 1066872, 1067387, 1067863, 1068315, 1068889, 1071986, 1074641, 1075341, 1076634, 1077821, 1078872, 1089611, 1089632, 1090991, 1093208, 1095721, 1095744, 1098547, 1099677, 1099695, 1100398, 1101214, 1101837, 1102687, 1102714, 1105168, 1105519, 1106173, 1106362, 1106512, 1108114, 1110941, 1120736, 1121072, 1124305, 1150209, 1152248, 1153136, 1153290, 1155827, 1156107, 1157149, 1157947, 1158446, 1159100, 1163180, 1163734, 1163962, 1165070, 1166395, 1166717, 1166865, 1167677, 1168320, 1169666, 1170991, 1173505, 1173955, 1174792, 1176543, 1178842, 1184263, 1186750, 1187387, 1190251, 1191689, 1191759, 1192624, 1196280, 1196500, 1198151, 1198815, 1199621, 1201800, 1202025, 1203541, 1203708, 1204382, 1210145, 1214762, 1216244, 1216823, 1217691, 1218070, 1218965, 1221189, 1226834, 1228789, 1233472, 1235144, 1235670, 1236406, 1237795, 1238615, 1239591, 1239963, 1240402, 1240460, 1241990, 1242017, 1243105, 1243407, 1245083]",819, 4125,2019-02-01,1,0.6666666666666666,819,1,['RECHARGE LAVAGE TW - A']
28277,"[108294, 109615, 121128, 127538, 132253, 133755, 138663, 141648, 143826, 145478, 147052, 156705, 164225, 164308, 172457, 174617, 175869, 180587, 184049, 184920, 187930, 188588, 195864, 197752, 198805, 208423, 217310, 217726, 223220, 229782, 231893, 239147, 258025, 259866, 261226, 262440, 262442, 267440, 269982, 274953, 275829, 281256, 285334, 286306, 287608, 287831, 288782, 289682, 292427, 299397, 313976, 315504, 318300, 323804, 325066, 325208, 326163, 327015, 338288, 341102, 350390, 351599, 359007, 363138, 370568, 388905, 393462, 397295, 410856, 416537, 422901, 426511, 438276, 450524, 454794, 462890, 465364, 470752, 474380, 474699, 475601, 480061, 482512, 483502, 485421, 488841, 490823, 495424, 496238, 500694, 508560, 508797, 526488, 528811, 530327, 540247, 544399, 545865, 545910, 550893, 553151, 560864, 567321, 570365, 573766, 574988, 576281, 576694, 577914, 579194, 579429, 580123, 582842, 589121, 600407, 602814, 607089, 609205, 614173, 614909, 616924, 619106, 622767, 642259, 726503, 738293, 756209, 756856, 787211, 825168, 830896, 831848, 832957, 841409, 844497, 844535, 890276, 896292, 899788, 905659, 911353, 911475, 937365, 966445, 968493, 973987, 979326, 989182, 991985, 1003499, 1009063, 1026225, 1055988, 1063971, 1067883, 1089061, 1095220, 1111303, 1161081, 1168259, 1189972, 1199738, 1234862]",163, 4126 4112,2019-02-01,1,0.6666666666666666,163,1,"['LAVAGE CLU', 'RECHARGE LAVAGE']"
