,user_ids,support,itemsets,period,property_values,depth,size,a
1220,"[ 104790  113487  204029  267956  277744  314494  329057  381774  387123
  446165  473768  486628  555714  585878  622371  734723  903174  967199
  988692 1041531 1063543 1180587]",22, 18064205,2018-09-01,1,0.0,22,1
1221,[555714 734723 988692],3, 18064205 13600075 6026,2018-09-01,1,0.0,3,1
1222,[ 988692 1041531],2, 18064205 5401046,2018-09-01,1,0.0,2,1
1223,[104790 381774 486628 734723 903174],5, 18064205 3450014,2018-09-01,1,0.0,5,1
1227,"[ 125918  144811  230124  253749  334330  429671  433073  459260  533301
  547651  579539  810351 1022090 1085887]",14, 100,2018-09-01,1,0.0,14,1
1228,[ 505859  584447  719763  862846  963615  972937 1097861 1179385],8, 5450142 6033,2018-09-01,1,0.0,8,1
1229,[ 505859  540247  719763  809946  963615 1103450 1179385],7, 5450142 7445935,2018-09-01,1,0.0,7,1
1230,"[ 182809  254144  307559  332928  338091  482628  505859  539410  540247
  584447  679482  702529  719763  809946  819872  862846  963615  972937
 1097861 1103450 1179385]",21, 5450142,2018-09-01,1,0.0,21,1
1231,[171222 263990 280999 575459 830201],5, 3461025 2850269,2018-09-01,1,0.0,5,1
1232,"[ 267648  355952  400827  425686  575459  725052  814744  866385  866455
  872971  881754  903174 1041531 1044697 1162193 1173969]",16, 3450042,2018-09-01,1,0.0,16,1
1233,"[ 112041  168332  267956  306030  369654  448392  881754  998545 1062852
 1063543 1086750]",11, 3461018,2018-09-01,1,0.0,11,1
1234,[112041 168332],2, 3461018 2850269,2018-09-01,1,0.0,2,1
1235,"[ 104790  204037  280999  314494  331511  353744  497579  575459  581812
  881754  903174  998545 1044697 1049835 1108766 1111712 1166138]",17, 4159045,2018-09-01,1,0.0,17,1
1236,[ 881754 1049835],2, 4159045 12520053,2018-09-01,1,0.0,2,1
1237,[ 104790  204037  575459  903174 1166138],5, 4159045 3450014,2018-09-01,1,0.0,5,1
1238,[ 280999  353744  575459  581812 1108766],5, 4159045 2850269,2018-09-01,1,0.0,5,1
1239,[280999 331511 575459],3, 4159045 3461025,2018-09-01,1,0.0,3,1
1240,[280999 575459],2, 4159045 3461025 2850269,2018-09-01,1,0.0,2,1
1241,[ 575459  881754  903174 1044697],4, 4159045 3450042,2018-09-01,1,0.0,4,1
1242,[575459 903174],2, 4159045 3450042 3450014,2018-09-01,1,0.0,2,1
1243,"[ 171222  331511  337743  387123  409260  438350  526900  540247  554300
  599279  731074  734723  866385  963523  971894  988692 1039399 1061637
 1064097 1108766 1216762]",21, 3450013,2018-09-01,1,0.0,21,1
1244,[ 438350  734723 1061637],3, 3450013 451,2018-09-01,1,0.0,3,1
1245,[ 438350 1061637],2, 3450013 12520268 451,2018-09-01,1,0.0,2,1
1246,[ 971894 1061637],2, 3450013 19419902,2018-09-01,1,0.0,2,1
1247,[ 171222  526900 1108766],3, 3450013 2850269,2018-09-01,1,0.0,3,1
1248,[171222 331511 540247 731074],4, 3450013 3461025,2018-09-01,1,0.0,4,1
1250,"[107225 171222 176424 263990 280999 293147 322520 329057 331511 336921
 420751 540247 575459 731074 734911 791569 819320 830201]",18, 3461025,2018-09-01,1,0.0,18,1
1251,[112041 998545],2, 3450026 6157591 3461018 19419902,2018-09-01,1,0.0,2,1
1252,[734723 998545],2, 3450026 6027 6026 13600075 6033 4190175 3450011,2018-09-01,1,0.0,2,1
1253,"[ 158639  216979  242920  278593  385149  456892  490024  563837  819872
  984430  988692 1066628 1121384 1204437]",14, 7587895,2018-09-01,1,0.0,14,1
1254,[ 998545 1173969],2, 3461041 6027 6026 6033 4190175 6157591,2018-09-01,1,0.0,2,1
1255,[526900 585878],2, 3461041 3450137,2018-09-01,1,0.0,2,1
1256,[ 526900 1049835],2, 3461041 3450010,2018-09-01,1,0.0,2,1
1257,[ 100715  325831  409260  468192  575459  581812  869831  998545 1014685],9, 4152819,2018-09-01,1,0.0,9,1
1258,[ 100715  468192  998545 1014685],4, 4152819 19419902,2018-09-01,1,0.0,4,1
1259,[100715 325831 575459 581812],4, 4152819 2850269,2018-09-01,1,0.0,4,1
1260,[575459 581812 998545],3, 4152819 4159045,2018-09-01,1,0.0,3,1
1261,[575459 581812],2, 4152819 4159045 2850269,2018-09-01,1,0.0,2,1
1262,[ 438350 1216762],2, 3461041 6157591 3450013,2018-09-01,1,0.0,2,1
1263,[325831 998545],2, 4152819 3450011,2018-09-01,1,0.0,2,1
1264,[ 575459  998545 1014685],3, 4152819 6157591,2018-09-01,1,0.0,3,1
1265,[ 998545 1014685],2, 4152819 6157591 19419902 6026 13600075,2018-09-01,1,0.0,2,1
1266,[575459 998545],2, 4152819 6157591 4159045,2018-09-01,1,0.0,2,1
1267,[109665 584447 963615],3, 5430201,2018-09-01,1,0.0,3,1
1268,[ 139035  167996  273537  280075  416684  427662  592368 1078330 1178195],9, 3,2018-09-01,1,0.0,9,1
1269,[416684 427662],2, 3 19378,2018-09-01,1,0.0,2,1
1270,[352539 558685 605261],3, 25,2018-09-01,1,0.0,3,1
1271,"[ 112041  486628  893091  954307  971686  971894  988747 1041531 1049835
 1162193 1173969]",11, 3461016,2018-09-01,1,0.0,11,1
1272,[575459 869831],2, 4152819 3461039,2018-09-01,1,0.0,2,1
1273,[ 438350  998545 1173969 1216762],4, 3461041 6157591,2018-09-01,1,0.0,4,1
1274,[526900 725052],2, 3461041 3461039,2018-09-01,1,0.0,2,1
1275,[ 331511  998545 1049835],3, 3461041 3450011 4159045,2018-09-01,1,0.0,3,1
1276,[ 418129  468837  963615 1180032],4, 7770415 6033,2018-09-01,1,0.0,4,1
1277,[ 963615 1180032],2, 7770415 7892095 6033,2018-09-01,1,0.0,2,1
1278,"[ 143739  230354  364367  382160  416684  510669  567863  796107  845601
 1229846]",10, 10,2018-09-01,1,0.0,10,1
1279,[140050 172406 176862 439351 725594 731074 819872],7, 1061987,2018-09-01,1,0.0,7,1
1280,[172406 439351],2, 1061987 13600075,2018-09-01,1,0.0,2,1
1281,"[ 303934  309153  449743  526900  616225  622371  626162  949779  963523
  971686 1049835 1086750 1180587]",13, 3450010,2018-09-01,1,0.0,13,1
1282,[449743 949779],2, 3450010 13600075,2018-09-01,1,0.0,2,1
1283,[526900 963523],2, 3450010 3450013,2018-09-01,1,0.0,2,1
1284,[ 622371 1180587],2, 3450010 18064205,2018-09-01,1,0.0,2,1
1285,[ 309153  616225 1049835],3, 3450010 3450011,2018-09-01,1,0.0,3,1
1286,[309153 526900],2, 3450010 3461039,2018-09-01,1,0.0,2,1
1287,[526900 971686],2, 3450010 3450137,2018-09-01,1,0.0,2,1
1288,"[ 104790  331511  438350  526900  585878  725052  998545 1049835 1173969
 1216762]",10, 3461041,2018-09-01,1,0.0,10,1
1289,[585878 998545],2, 3461041 19419902,2018-09-01,1,0.0,2,1
1290,[ 526900 1173969],2, 3461041 2850269,2018-09-01,1,0.0,2,1
1292,[ 104790  331511  998545 1049835],4, 3461041 4159045,2018-09-01,1,0.0,4,1
1293,[ 331511  438350  526900 1216762],4, 3461041 3450013,2018-09-01,1,0.0,4,1
1295,[ 971686 1162193 1173969],3, 3461016 6026,2018-09-01,1,0.0,3,1
1296,[ 213259  306030  418129  468837  963615 1180032 1246442],7, 7770415,2018-09-01,1,0.0,7,1
1297,[112041 971894],2, 3461016 19419902,2018-09-01,1,0.0,2,1
1298,[1041531 1162193 1173969],3, 3461016 3450042,2018-09-01,1,0.0,3,1
1299,[715341 972937],2, 7729855 5401047 6033,2018-09-01,1,0.0,2,1
1300,[135063 226621 332928 963615],4, 7729855 5461017,2018-09-01,1,0.0,4,1
1301,[226621 963615],2, 7729855 5461017 7445935,2018-09-01,1,0.0,2,1
1302,[135063 963615],2, 7729855 5461017 7892095,2018-09-01,1,0.0,2,1
1303,[ 332928  584447  819872  963615  972937 1103450],6, 7729855 5450142,2018-09-01,1,0.0,6,1
1304,[ 963615 1103450],2, 7729855 5450142 7445935,2018-09-01,1,0.0,2,1
1305,[584447 963615 972937],3, 7729855 5450142 6033,2018-09-01,1,0.0,3,1
1306,[584447 819872 963615],3, 7729855 7719715 5450142,2018-09-01,1,0.0,3,1
1307,[584447 715341 963615 972937],4, 7729855 6033,2018-09-01,1,0.0,4,1
1308,[141642 715341 963615],3, 7729855 5461018,2018-09-01,1,0.0,3,1
1309,[358380 401190 559661 579539],4, 106,2018-09-01,1,0.0,4,1
1310,[ 211447  573488  734723 1162193 1204414],5, 11679,2018-09-01,1,0.0,5,1
1311,[ 734723 1204414],2, 11679 451,2018-09-01,1,0.0,2,1
1312,[ 734723 1162193],2, 11679 6033 6026 13600075,2018-09-01,1,0.0,2,1
1314,[ 171222  293147  555714  819320  925473  971686 1101858],7, 3430026,2018-09-01,1,0.0,7,1
1315,[555714 971686],2, 3430026 6026,2018-09-01,1,0.0,2,1
1316,[171222 925473],2, 3430026 2850269,2018-09-01,1,0.0,2,1
1317,[715341 963615],2, 7729855 5461018 6033 7445935,2018-09-01,1,0.0,2,1
1318,[ 226621  715341  963615 1103450 1176997],5, 7729855 7445935,2018-09-01,1,0.0,5,1
1319,"[ 135063  141642  226621  332928  584447  715341  819872  963615  972937
 1103450 1176997]",11, 7729855,2018-09-01,1,0.0,11,1
1320,[ 734723 1173969],2, 3461026 6027 6026 6033 4190175,2018-09-01,1,0.0,2,1
1321,[1041531 1162193],2, 3461016 3450042 7445935,2018-09-01,1,0.0,2,1
1322,[ 486628 1041531],2, 3461016 18064205,2018-09-01,1,0.0,2,1
1323,[ 486628 1049835],2, 3461016 3450011,2018-09-01,1,0.0,2,1
1324,[ 112041 1162193 1173969],3, 3461016 6157591,2018-09-01,1,0.0,3,1
1325,[ 112041 1173969],2, 3461016 6157591 2850269,2018-09-01,1,0.0,2,1
1326,[1162193 1173969],2, 3461016 6157591 3450042 6026 6033,2018-09-01,1,0.0,2,1
1327,[ 112041 1049835],2, 3461016 3401040,2018-09-01,1,0.0,2,1
1328,[ 971894 1049835 1173969],3, 3461016 3461030,2018-09-01,1,0.0,3,1
1329,[ 971894 1173969],2, 3461016 3461030 6027,2018-09-01,1,0.0,2,1
1332,[ 204037  387123  567441  567649  734723  988692 1173969],7, 3461026,2018-09-01,1,0.0,7,1
1333,[ 734723  988692 1173969],3, 3461026 6033 6026,2018-09-01,1,0.0,3,1
1334,[567649 988692],2, 3461026 5401046,2018-09-01,1,0.0,2,1
1335,[204037 734723],2, 3461026 3450014,2018-09-01,1,0.0,2,1
1336,[387123 734723 988692],3, 3461026 18064205 3450013,2018-09-01,1,0.0,3,1
1337,[734723 988692],2, 3461026 18064205 6033 3450013 6026 13600075,2018-09-01,1,0.0,2,1
1338,[ 204037  988692 1173969],3, 3461026 6157591,2018-09-01,1,0.0,3,1
1339,[ 988692 1173969],2, 3461026 6157591 6033 6026,2018-09-01,1,0.0,2,1
1340,[ 112041  893091 1173969],3, 3461016 2850269,2018-09-01,1,0.0,3,1
1341,"[107225 171222 176424 263990 280999 293147 322520 329057 331511 336921
 420751 540247 575459 731074 734911 791569 819320 830201]",18, 3461025,2018-09-01,1,0.0,18,1
1343,[254144 540247 963615],3, 5461018 7719715 5450142,2018-09-01,1,0.0,3,1
1344,[112041 112044],2, 3667191 19419902,2018-09-01,1,0.0,2,1
1345,[ 112044  734723 1155422],3, 3667191 4190175,2018-09-01,1,0.0,3,1
1346,[112044 734723],2, 3667191 4190175 451,2018-09-01,1,0.0,2,1
1347,[ 112041  325831 1155422],3, 3667191 2850269,2018-09-01,1,0.0,3,1
1348,[ 325831  734723 1155422],3, 3667191 3450011,2018-09-01,1,0.0,3,1
1349,[ 734723 1155422],2, 3667191 3450011 4190175 6026 13600075 6033,2018-09-01,1,0.0,2,1
1350,[ 325831 1155422],2, 3667191 3450011 2850269,2018-09-01,1,0.0,2,1
1351,[112041 734723 881754],3, 3667191 3450026,2018-09-01,1,0.0,3,1
1352,[ 112041  112044  176424  303934  325831  734723  881754 1155422],8, 3667191,2018-09-01,1,0.0,8,1
1353,[112041 881754],2, 3667191 3450026 3461018,2018-09-01,1,0.0,2,1
1354,"[ 100715  307210  455008  490024  532337  584447  594237  819872  984430
  988692 1030889 1058591 1162193]",13, 8287519,2018-09-01,1,0.0,13,1
1355,[ 532337  584447  988692 1058591 1162193],5, 8287519 6026,2018-09-01,1,0.0,5,1
1356,[ 307210  584447  984430  988692 1058591 1162193],6, 8287519 13600075,2018-09-01,1,0.0,6,1
1357,[ 584447  988692 1058591 1162193],4, 8287519 13600075 6026,2018-09-01,1,0.0,4,1
1358,[ 490024 1058591 1162193],3, 8287519 7445935,2018-09-01,1,0.0,3,1
1359,[1058591 1162193],2, 8287519 7445935 13600075 6026,2018-09-01,1,0.0,2,1
1360,[ 455008  490024  584447  988692 1162193],5, 8287519 6033,2018-09-01,1,0.0,5,1
1361,[ 584447  988692 1162193],3, 8287519 6033 13600075 6026,2018-09-01,1,0.0,3,1
