,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
223,"[149358, 490485, 565366, 758160]",4, 2754 2797,2017-04-01,35-49,0.05555555555555555,4,35-49,"[""CHIPS LAY'S BBQ"", 'COCA COLA 50CL PET']"
224,"[411990, 413192, 739512]",3, 2754 5929,2017-04-01,35-49,0.05555555555555555,3,35-49,"[""CHIPS LAY'S BBQ"", 'COCA COLA ZERO']"
225,"[149358, 413192, 490485, 739512]",4, 2754 6855,2017-04-01,35-49,0.05555555555555555,4,35-49,"[""CHIPS LAY'S BBQ"", ""CHIPS LAY'S SAL""]"
226,"[328897, 565366, 739512]",3, 2754 2631,2017-04-01,35-49,0.05555555555555555,3,35-49,"[""CHIPS LAY'S BBQ"", 'ORANGINA PET 50']"
227,"[110899, 603395, 734723, 913872]",4, 1853 163,2017-04-01,35-49,0.05555555555555555,4,35-49,['CR SANDWICH VOL']
228,"[616225, 734723, 913872]",3, 1853 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CR SANDWICH VOL', 'REMISE BUS AUTOROUTE 9\x80']"
229,"[425163, 734723, 913872]",3, 1853 1615,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CR FLAN NATURE', 'CR SANDWICH VOL']"
233,"[574634, 622013, 751356]",3, 6668 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['NUTELLA B-READY T6', 'REMISE BUS AUTOROUTE 9\x80']"
234,"[565366, 610249, 616225, 891279]",4, 1164 602,2017-04-01,35-49,0.05555555555555555,4,35-49,"['CR SANDWHICH OCEANIQUE (NEW)', 'CR TARTE NORMANDE']"
235,"[149358, 328897, 411990, 739512]",4, 2754 3875,2017-04-01,35-49,0.05555555555555555,4,35-49,"[""CHIPS LAY'S BBQ"", 'TRIANGLE JAMBOM']"
237,"[565366, 616565, 758594]",3, 5844 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['GAUFFRE LIEGE CHOCO X5 225G LOTUS', 'REMISE BUS AUTOROUTE 9\x80']"
241,"[176862, 405783, 469803, 537955, 571624, 576439, 582964, 867448]",8, 389 1825,2017-04-01,35-49,0.05555555555555555,8,35-49,"['MALBORO', 'MARLBORO']"
244,"[565366, 622027, 913872]",3, 1868 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CR COCA COLA PE', 'REMISE BUS AUTOROUTE 9\x80']"
