,user_ids,support,itemsets,period,property_values,depth,size,AGE
110,"[205909 207287 251062 343915 347643 416321 499587 518876 546837 780794
 961534]",11, 7038427 7445935,2018-01-01,50-65,0.0,11,50-65
111,"[ 173520  183799  184167  235747  266878  279300  363677  423653  518906
  528371  550801  602313  961534 1020601 1031083]",15, 7476355 7445935,2018-01-01,50-65,0.0,15,50-65
112,"[156727 186396 213362 241517 253889 401880 453037 492938 498646 575459
 746434 809878 983150]",13, 4159045 3461039,2018-01-01,50-65,0.0,13,50-65
113,"[102352 139024 174862 199517 248328 278396 308942 376096 415746 545343
 549981 575459 925439]",13, 3412023 3461025,2018-01-01,50-65,0.0,13,50-65
114,"[102352 115022 144535 329687 376096 392517 401880 431564 575459 662578
 910581]",11, 3412023 3461039,2018-01-01,50-65,0.0,11,50-65
115,"[144018 161197 163525 186063 248633 258565 265137 288860 462524 548862
 689377]",11, 5450075 7445935,2018-01-01,50-65,0.0,11,50-65
116,"[ 122586  131007  156442  179654  186063  202763  260536  266337  330770
  406229  409911  430673  528371  564779  645629  739244  859944  903140
  941284  958235  986957 1025341 1038825 1056074]",24, 11462027 11421002,2018-01-01,50-65,0.0,24,50-65
117,"[ 200336  239990  268052  362482  400551  473008  528196  565071  972607
 1007928]",10, 5450128 5461017,2018-01-01,50-65,0.0,10,50-65
118,"[ 164050  222253  226528  239990  268052  277250  288860  362482  400551
  528196  565071  613109  683630 1007928]",14, 5450128 7445935,2018-01-01,50-65,0.0,14,50-65
119,"[ 101544  159559  224623  313393  399106  418480  461126  581804  831739
 1027999]",10, 3450116 3450059,2018-01-01,50-65,0.0,10,50-65
120,"[101544 104919 222253 223507 224623 249512 277744 399106 467607 603341
 805056 831739]",12, 3450116 18064205,2018-01-01,50-65,0.0,12,50-65
121,"[ 124627  158259  271869  376096  517238  549636  565681  581804  760325
 1058237]",10, 3430200 3461039,2018-01-01,50-65,0.0,10,50-65
122,"[107467 205486 218740 236457 387220 392517 518689 548055 673330 709690
 900811 984250]",12, 1086837 3450013,2018-01-01,50-65,0.0,12,50-65
123,[121600 137311 240583 277744 346946 392517 554356 569241 605662 616209],10, 3667191 3450013,2018-01-01,50-65,0.0,10,50-65
124,"[121600 158259 254530 266856 327099 392517 493869 569241 616209 811194
 910581]",11, 3667191 3461039,2018-01-01,50-65,0.0,11,50-65
125,[161770 222253 224623 229948 414412 422446 464902 526943 554345 980221],10, 3461016 3450014,2018-01-01,50-65,0.0,10,50-65
126,"[158500 161770 222253 224623 288207 393783 422446 520090 526943 554345
 741610 820265]",12, 3461016 18064205,2018-01-01,50-65,0.0,12,50-65
127,"[ 520090  526943  536343  548055  554356  558580  741610  900811 1032903
 1058237]",10, 3461016 6026,2018-01-01,50-65,0.0,10,50-65
128,[142866 242571 254902 269922 614266 746434 786522 888684 888769 987364],10, 3450026 3430026,2018-01-01,50-65,0.0,10,50-65
129,"[188957 292255 388739 405629 431435 494144 534856 554354 560347 591144
 726618 859058 932584 933429 938092 957776]",16, 3461030 4190175,2018-01-01,50-65,0.0,16,50-65
