,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE,DEPARTEMENT
158,[ 399107  508618  584447  911665 1097861],5, 8125295 6033,2018-08-01,COCO_78,0.5294117647058824,5,COCO,78
159,"[ 294115  399107  400722  455008  490024  508618  518902  545984  824398
  911614 1097861]",11, 6033 5401047,2018-08-01,COCO_78,0.5294117647058824,11,COCO,78
160,"[ 294115  416219  519885  584447  737878  772088  824398  849812  963615
 1097861]",10, 6033 6026,2018-08-01,COCO_78,0.5294117647058824,10,COCO,78
161,"[143238 294115 399107 471775 490024 518902 545984 550646 824398 916245
 966582]",11, 5401047 7445935,2018-08-01,COCO_78,0.5294117647058824,11,COCO,78
162,[ 294115  471775  619437  824398  979497 1097861],6, 5401047 6026,2018-08-01,COCO_78,0.5294117647058824,6,COCO,78
163,[294115 471775 737878 754357 824398 963615],6, 7445935 6026,2018-08-01,COCO_78,0.5294117647058824,6,COCO,78
164,"[ 471775  519469  519885  526399  614220  619437  719763  752568  754776
  754789  849812  979497  995513 1007975 1037646 1048011 1082751 1113856
 1174591]",19, 13600075 6026,2018-08-01,COCO_78,0.5294117647058824,19,COCO,78
165,[ 123777  539737  798930 1071032 1150527],5, 4190175 19419902,2018-08-01,COCO_59,0.5294117647058824,5,COCO,59
166,[ 749038  860435  891917  979705  998545 1058591 1152434 1155422 1179263],9, 13600075 6026,2018-08-01,COCO_59,0.5294117647058824,9,COCO,59
167,[1040091 1056623 1058591 1099079 1152434],5, 6026 451,2018-08-01,COCO_59,0.5294117647058824,5,COCO,59
168,"[ 108938  114666  118478  133892  167694  187833  199984  235462  244827
  270220  292347  314647  351686  368080  403445  425954  427096  427250
  432305  438350  451363  464331  483533  521982  523545  528367  602580
  604098  607784  612824  616689  681522  751640  777319  903640  915181
  957469 1061637 1095891 1163691 1167207 1167617 1168767 1171591 1180356
 1198352]",46, 12520268 451,2018-08-01,COCO_59,0.5294117647058824,46,COCO,59
169,[294115 399107 490024 518902 521894 545984 737878 824398 963615],9, 6033 7445935,2018-08-01,COCO_78,0.5294117647058824,9,COCO,78
170,[226621 264552 468837 505859 963615],5, 5461017 7445935,2018-10-01,COCO_78,0.5882352941176471,5,COCO,78
