,user_ids,support,itemsets,period,property_values,depth,size,DEPARTEMENT
97,[123801 384122 396609 437007 460228 871178 912494],7, 12520039 451,2017-08-01,62,0.18181818181818182,7,62
99,"[ 471775  519469  519885  574634  619437  719763  735292  749414  752568
  754685  754772  761107  849812  902696  908778  963615  964774  965330
  971686  975522  993844  994504  995513  995957 1014685]",25, 13600075 6026,2017-08-01,78,0.18181818181818182,25,78
100,[380150 471775 521885 548624 619437 908778 963615 971894],8, 7445935 6026,2017-08-01,78,0.18181818181818182,8,78
101,[471775 619437 798831 893886 908778 963615],6, 7445935 13600075,2017-08-01,78,0.18181818181818182,6,78
102,"[380150 418127 471775 482421 520693 521885 531947 548624 563837 596875
 911614 963615 971894]",13, 6033 7445935,2017-08-01,78,0.18181818181818182,13,78
103,[380150 471775 521885 548624 963615 971894],6, 6033 7445935 6026,2017-08-01,78,0.18181818181818182,6,78
104,"[380150 428202 468837 471775 489055 521885 548624 572619 842240 911665
 963615 971894 993844]",13, 6033 6026,2017-08-01,78,0.18181818181818182,13,78
105,[418127 471775 520693 563837 971894],5, 7476355 6033 7445935,2017-08-01,78,0.18181818181818182,5,78
106,[508618 565366 619437 752568 761107 849812 957240 965330 971894 975522],10, 3450013 6026,2017-08-01,78,0.18181818181818182,10,78
107,[619437 752568 761107 849812 965330 975522],6, 3450013 13600075 6026,2017-08-01,78,0.18181818181818182,6,78
108,[508618 555714 565366 619437 761107 957240 965330 971894],8, 3450013 6027,2017-08-01,78,0.18181818181818182,8,78
109,[508618 565366 619437 761107 957240 965330 971894],7, 3450013 6027 6026,2017-08-01,78,0.18181818181818182,7,78
110,[428202 471775 489055 619437 971894 975522],6, 7476355 6026,2017-08-01,78,0.18181818181818182,6,78
111,[471775 619437 798831 975522 984430],5, 7476355 13600075,2017-08-01,78,0.18181818181818182,5,78
112,[214134 418127 471775 516496 520693 563837 619437 641614 798831 971894],10, 7476355 7445935,2017-08-01,78,0.18181818181818182,10,78
113,"[428202 489055 508618 565366 619437 622027 754685 761107 842314 908778
 957240 964774 965330 971894]",14, 6027 6026,2017-08-01,78,0.18181818181818182,14,78
114,[192104 222650 241017 263913 263990 737446],6, 5401004 7445935,2017-11-01,78,0.2727272727272727,6,78
