ARTICLE_ID,DESCRIPTION,adoption_counts,loyalty1_counts,loyalty2_counts,loyalty,promo_exclusive_products,replacement
3456580128066,AMANDINE POIRE,0,0,0,0,0,0
3600540556448,AMB.SOL.SPR.UV,0,0,0,0,0,0
3181730189474,AMBI PUR AFTER TOBACCO,0,0,0,0,0,0
5410076309757,AMBI PUR ANTI T,0,0,0,0,0,0
4084500276222,AMBI PUR BOUQUE,0,0,0,0,0,0
3181730189511,AMBI PUR COMFOR,0,0,0,0,0,0
8001090155399,AMBI PUR FLEUR,0,0,0,0,0,0
3181733120771,AMBI PUR FRESH FLORAL,0,0,0,0,0,0
5410076309719,AMBI PUR PACIFI,0,0,0,0,0,0
5410076313075,AMBI PUR RECH. AMAZON,0,0,0,0,0,0
8001090151247,AMBIPRU CAR DIF,0,0,0,0,0,0
8710402319892,AMBIPUR 3 PURESSE DIFF,0,0,0,0,0,0
5410076309634,AMBIPUR AQUA,0,0,0,0,0,0
5410076474813,AMBIPUR AQUA DIFF GRT,0,0,0,0,0,0
3181730189399,AMBIPUR AQUA DIFFUS.GRAT,0,0,0,0,0,0
8001090151285,AMBIPUR BOUQUET,0,0,0,0,0,0
4084500275447,AMBIPUR CAR DIF,0,0,0,0,0,0
4084500275201,AMBIPUR CAR DIFF AFTER TOBACCO,0,0,0,0,0,0
4084500275720,AMBIPUR CAR DIFF CASCADE FRAICHEUR,0,0,0,0,0,0
5410076309832,AMBIPUR CAR DIFF CONFORT,0,0,0,0,0,0
8001090151322,AMBIPUR CAR DIFF FLEUR NAISSANTE,0,0,0,0,0,0
4084500275591,AMBIPUR CAR DIFF OPEN SKY,0,0,0,0,0,0
5410076309870,AMBIPUR CAR DIFFUSEUR PURESSE AIR,0,0,0,0,0,0
8001090151407,AMBIPUR CAR FRU,0,0,0,0,0,0
4084500275638,AMBIPUR CAR REC,0,0,0,0,0,0
4084500275546,AMBIPUR CAR RECH AIR FR,0,0,0,0,0,0
4084500275508,AMBIPUR CAR RECHARG BQUET AGRUMES,0,0,0,0,0,0
4084500275294,AMBIPUR CAR RECHARG. FLEUR NAISSANTE,0,0,0,0,0,0
5410076475322,AMBIPUR CONFORT DIFF GRT,0,0,0,0,0,0
5410076309795,AMBIPUR FOR HER,0,0,0,0,0,0
3181730189436,AMBIPUR VANIILE DIFF.GRT,0,0,0,0,0,0
5410076475827,AMBIPUR VANILL + DIFF GRT,0,0,0,0,0,0
5410076309672,AMBIPUR VANILLE,0,0,0,0,0,0
5410076474660,AMBIPURE PROMO,0,0,0,0,0,0
3228851000643,AMERICAN SANDWI,0,0,0,0,0,0
8711252007809,AMP 24V 21/5WBAY15D,0,0,0,0,0,0
8718291202783,AMP ECO30 STD 4,0,0,0,0,0,0
8711252012360,AMP H4 12V XENON BLEU X 2 GPS,0,0,0,0,0,0
4050300001487,AMP. H1 - 64150 (BTE X10),0,0,0,0,0,0
4082300070446,AMP. H4 ALLS-64193 (BTEX10),0,0,0,0,0,0
8711500482709,AMP.GRAISSEUR R5W-BOITE,0,0,0,0,0,0
3700232613715,AMPLI ANTEN TV,0,0,0,0,0,0
8711500405876,AMPOULE  W 16,0,0,0,0,0,0
3700232617218,AMPOULE 1 SMD L,0,0,0,0,0,0
3700232617232,AMPOULE 1 SMD LED T10 12V BLANC 2P,0,0,0,0,0,0
3700232617225,AMPOULE 1 SMD LED T10 24V BLEU 2P,0,0,0,0,0,0
